BEGIN_DAY,MARKET_TYPE,STOCK_ID_NM,INDUSTRY_TYPE,STOCK_ID
1962/02/09,上市,1101　台泥,水泥工業,1101
1962/06/08,上市,1102　亞泥,水泥工業,1102
1969/11/14,上市,1103　嘉泥,水泥工業,1103
1971/02/01,上市,1104　環泥,水泥工業,1104
1990/06/06,上市,1108　幸福,水泥工業,1108
1991/12/05,上市,1109　信大,水泥工業,1109
1994/10/22,上市,1110　東泥,水泥工業,1110
1962/02/09,上市,1201　味全,食品工業,1201
1964/08/24,上市,1203　味王,食品工業,1203
1978/05/20,上市,1210　大成,食品工業,1210
1981/04/10,上市,1213　大飲,食品工業,1213
1987/07/27,上市,1215　卜蜂,食品工業,1215
1987/12/28,上市,1216　統一,食品工業,1216
1989/10/28,上市,1217　愛之味,食品工業,1217
1989/11/11,上市,1218　泰山,食品工業,1218
1990/12/01,上市,1219　福壽,食品工業,1219
1991/11/20,上市,1220　台榮,食品工業,1220
1993/09/27,上市,1225　福懋油,食品工業,1225
1994/04/09,上市,1227　佳格,食品工業,1227
1976/07/19,上市,1229　聯華,食品工業,1229
1995/11/02,上市,1231　聯華食,食品工業,1231
1996/02/09,上市,1232　大統益,食品工業,1232
1999/01/20,上市,1233　天仁,食品工業,1233
1999/03/12,上市,1234　黑松,食品工業,1234
2000/09/11,上市,1235　興泰,食品工業,1235
2001/09/17,上市,1236　宏亞,食品工業,1236
2016/03/17,上市,1256　鮮活果汁-KY,食品工業,1256
2014/01/16,上市,1262　綠悅-KY,其他業,1262
1964/07/27,上市,1301　台塑,塑膠工業,1301
1967/11/05,上市,1303　南亞,塑膠工業,1303
1972/05/20,上市,1304　台聚,塑膠工業,1304
1973/03/05,上市,1305　華夏,塑膠工業,1305
1985/11/23,上市,1307　三芳,塑膠工業,1307
1986/06/20,上市,1308　亞聚,塑膠工業,1308
1986/06/27,上市,1309　台達化,塑膠工業,1309
1987/08/06,上市,1310　台苯,塑膠工業,1310
1988/12/21,上市,1312　國喬,塑膠工業,1312
1989/03/27,上市,1313　聯成,塑膠工業,1313
1991/07/12,上市,1314　中石化,塑膠工業,1314
1992/05/09,上市,1315　達新,塑膠工業,1315
1992/10/15,上市,1316　上曜,化學工業,1316
1994/12/12,上市,1319　東陽,塑膠工業,1319
1999/01/26,上市,1321　大洋,塑膠工業,1321
2000/09/11,上市,1323　永裕,塑膠工業,1323
2000/09/11,上市,1324　地球,塑膠工業,1324
2000/09/11,上市,1325　恆大,塑膠工業,1325
1984/12/20,上市,1326　台化,塑膠工業,1326
2011/07/01,上市,1337　再生-KY,塑膠工業,1337
2012/12/19,上市,1338　廣華-KY,汽車工業,1338
2012/04/24,上市,1339　昭輝,塑膠工業,1339
2013/12/06,上市,1340　勝悅-KY,塑膠工業,1340
2018/12/24,上市,1341　富林-KY,塑膠工業,1341
1967/04/14,上市,1402　遠東新,紡織纖維,1402
1973/08/31,上市,1409　新纖,紡織纖維,1409
1973/10/18,上市,1410　南染,紡織纖維,1410
1975/12/23,上市,1413　宏洲,紡織纖維,1413
1976/02/02,上市,1414　東和,紡織纖維,1414
1976/04/20,上市,1416　廣豐,紡織纖維,1416
1976/12/28,上市,1417　嘉裕,紡織纖維,1417
1977/02/14,上市,1418　東華,紡織纖維,1418
1977/03/14,上市,1419　新紡,紡織纖維,1419
1979/04/02,上市,1423　利華,紡織纖維,1423
1982/07/26,上市,1432　大魯閣,貿易百貨業,1432
1985/12/24,上市,1434　福懋,紡織纖維,1434
1987/12/28,上市,1435　中福,其他業,1435
1988/04/11,上市,1436　華友聯,建材營造業,1436
1988/11/10,上市,1437　勤益控,其他業,1437
1988/12/15,上市,1438　裕豐,建材營造業,1438
1989/05/22,上市,1439　中和,紡織纖維,1439
1989/10/03,上市,1440　南紡,紡織纖維,1440
1989/10/27,上市,1441　大東,紡織纖維,1441
1989/11/16,上市,1442　名軒,建材營造業,1442
1990/04/21,上市,1443　立益,紡織纖維,1443
1990/08/08,上市,1444　力麗,紡織纖維,1444
